;t;T1;T2;T;p
0;12.8673902;282.7274447;295.1079962;282.7274447;5
1;15.521889;282.7274447;295.8751058;282.7274447;5
2;18.1319206;282.7274447;295.9945404;282.7274447;5
3;20.7719133;282.7274447;295.5179863;282.7274447;5
4;23.3776033;282.7274447;295.8675832;282.7274447;5
5;25.9684968;282.7274447;296.1666;282.7274447;5
6;28.5084114;282.7274447;295.5315727;282.7274447;5
7;31.115657;282.7274447;295.7612749;282.7274447;5
8;33.7650321;282.7274447;295.6269016;282.7274447;5
9;36.4230195;282.7274447;296.2786177;282.7274447;5
10;39.0009938;282.7274447;296.7895085;282.7274447;5
11;41.6291432;282.9513743;297.025506;282.9513743;5
12;44.2418373;283.3265483;297.3693481;283.3265483;5
13;46.8536718;283.8583313;297.8886953;283.8583313;5
14;49.5310082;284.3034696;298.0382544;284.3034696;5
15;52.1336113;284.7361038;298.2345472;284.7361038;5
16;54.7083503;285.1646556;298.5138564;285.1646556;5
17;57.3965968;285.5785299;298.964978;285.5785299;5
18;60.0212865;286.012436;299.0798571;286.012436;5
19;62.6850275;286.466427;299.2329498;286.466427;5
20;65.3015785;286.9018385;299.6909655;286.9018385;5
21;67.8766195;287.3275989;300.4234989;287.3275989;5
22;70.4874688;287.7523809;302.3272783;287.7523809;5
23;73.1001493;288.1731612;302.9321594;288.1731612;5
24;75.7384308;288.5944219;302.9729315;288.5944219;5
25;78.3540306;288.9700543;303.1196156;288.9700543;5
26;81.0028853;289.4090913;303.7332456;289.4090913;5
27;83.6057273;289.8144781;304.0088301;289.8144781;5
28;86.2715315;290.2440448;304.046176;290.2440448;5
29;88.8934573;290.6528655;304.251747;290.6528655;5
30;91.5373986;291.054661;304.6701844;291.054661;5
31;94.1358857;291.4511355;304.8776157;291.4511355;5
32;96.7872826;291.7980799;305.1670162;291.7980799;5
33;99.4154834;292.1854702;305.4940578;292.1854702;5
34;102.0236932;293.0949385;305.9064538;293.0949385;5
35;104.6038606;292.9099252;306.0784956;292.9099252;5
36;107.1616448;293.3767957;306.4894759;293.3767957;5
37;109.8028732;293.7256502;306.9157719;293.7256502;5
38;112.3775699;294.1370768;307.125753;294.1370768;5
39;115.0288766;294.3847844;307.1866725;294.3847844;5
40;117.6155905;294.877753;307.4957059;294.877753;5
41;120.2264966;295.1867761;307.567916;295.1867761;5
42;122.8058893;295.6128922;307.7587826;295.6128922;5
43;125.4216754;295.9738146;308.0543253;295.9738146;5
44;128.0178298;296.2809983;308.3471945;296.2809983;5
45;130.5961812;296.6863035;309.2304149;296.6863035;5
46;133.2262188;297.0549982;309.4575724;297.0549982;5
47;135.8683574;297.4387801;309.5922166;297.4387801;5
48;138.5316119;297.7673035;309.7752053;297.7673035;5
49;141.1611085;298.1607896;310.0099485;298.1607896;5
50;143.762686;298.4389401;310.3955469;298.4389401;5
51;146.4573385;298.8562141;310.681246;298.8562141;5
52;149.0746062;299.2318782;310.8538518;299.2318782;5
53;151.7471574;299.5684186;311.2028632;299.5684186;5
54;154.3801931;299.8626633;311.6255988;299.8626633;5
55;156.9663207;300.2583699;311.8521814;300.2583699;5
56;159.5305769;300.4508493;312.3902416;300.4508493;5
57;162.1746652;300.7666036;312.6063546;300.7666036;5
58;164.7987803;301.2246575;312.6754137;301.2246575;5
59;167.738314;301.5261133;312.9510728;301.5261133;5
60;170.5727257;301.8687992;313.1514309;301.8687992;5
61;173.2290326;302.1863827;313.5200775;302.1863827;5
62;175.766836;302.4912507;313.8540979;302.4912507;5
63;178.3010759;302.6678532;314.0594854;302.6678532;5
64;180.8333841;303.0470755;314.3022668;303.0470755;5
66;185.8991673;303.2552526;314.5281528;303.2552526;5
67;188.4480647;303.3973141;314.5835716;303.3973141;5
68;191.006133;303.2984794;314.6725091;303.2984794;5
69;193.5597656;303.3209866;314.7506012;303.3209866;5
70;196.0970785;303.3261834;314.8345546;303.3261834;5
71;198.6217304;303.3365802;314.7869449;303.3365802;5
72;201.1400305;303.3383135;314.8149391;303.3383135;5
73;203.6978864;303.3469814;314.4783852;303.3469814;5
74;206.229517;303.3469814;314.6530258;303.3469814;5
75;208.7580366;303.3521835;314.6113291;303.3521835;5
76;211.2928314;303.3591215;315.0429057;303.3591215;5
77;213.8160834;303.3643261;315.0033488;303.3643261;5
78;216.3558853;303.3660613;315.0825279;303.3660613;5
79;218.8931853;303.3712674;315.1051987;303.3712674;5
80;221.4137881;303.3677965;315.139245;303.3677965;5
81;223.9626555;303.3747387;315.2274224;303.3747387;5
82;226.498598;303.3764746;315.2844836;303.3764746;5
83;229.0224191;303.3764746;315.2787713;303.3764746;5
84;231.55167;303.3764746;315.2530831;303.3764746;5
85;234.0932795;303.3747387;315.2930545;303.3747387;5
86;236.6231734;303.373003;314.9413195;303.373003;5
88;241.7168731;303.373003;315.0259447;303.373003;5
89;244.2587371;303.3747387;315.1250531;303.3747387;5
90;246.7896467;303.3782105;315.2046359;303.3782105;5
91;249.3232174;303.3799466;315.2759157;303.3799466;5
92;251.8576996;303.3816828;315.3502722;303.3816828;5
93;254.4061126;303.3851556;315.4191141;303.3851556;5
94;256.9403243;303.3834192;315.4277332;303.3834192;5
95;259.4939346;303.3903657;315.433481;303.3903657;5
96;262.0248629;303.3903657;315.5112116;303.3903657;5
97;264.5747967;303.3921026;315.5573933;303.3921026;5
98;267.1016633;303.3903657;315.5978753;303.3903657;5
99;269.6628518;303.3921026;315.6210385;303.3921026;5
100;272.2109545;303.3973141;315.6529246;303.3973141;5
101;274.7454226;303.3973141;315.7022864;303.3973141;5
102;277.2883947;303.3990515;315.7255507;303.3990515;5
103;279.814117;303.3938396;315.7721471;303.3938396;5
104;282.3624872;303.3990515;315.8363651;303.3990515;5
105;284.8940308;303.3973141;315.821755;303.3973141;5
106;287.4165324;303.3973141;315.827598;303.3973141;5
107;289.9598083;303.3955768;315.8978248;303.3955768;5
108;292.5027061;303.3955768;315.8363651;303.3955768;5
109;295.0458601;303.3973141;315.7342807;303.3973141;5
111;300.1093165;303.3938396;316.1630198;303.3938396;5
112;302.6605522;303.3938396;316.3623615;303.3938396;5
113;305.2111658;303.3990515;316.3534003;303.3990515;5
114;307.7532857;303.3990515;316.2223518;303.3990515;5
115;310.2751318;303.4025266;316.3534003;303.4025266;5
116;312.822878;303.4025266;316.2104736;303.4025266;5
117;315.3581158;303.4025266;316.180804;303.4025266;5
118;317.8945077;303.4060023;316.177839;303.4060023;5
119;320.4261454;303.4094784;316.1245324;303.4094784;5
120;322.9595908;303.412955;316.0802004;303.412955;5
121;325.4838985;303.412955;316.109746;303.412955;5
122;328.0157134;303.4164321;316.1926675;303.4164321;5
123;330.552605;303.4164321;316.2580214;303.4164321;5
124;333.0861424;303.4181708;316.3146069;303.4181708;5
125;335.6069083;303.4164321;316.2490991;303.4164321;5
126;338.1605668;303.4164321;316.2728994;303.4164321;5
128;343.230177;303.4199096;316.371326;303.4199096;5
129;345.7582584;303.4216486;316.3743149;303.4216486;5
130;348.2991401;303.4164321;316.3534003;303.4164321;5
131;350.8317417;303.4181708;316.4491592;303.4181708;5
132;353.3828724;303.4181708;316.4371684;303.4181708;5
133;355.9374521;303.4216486;316.4371684;303.4216486;5
134;358.4663208;303.4181708;316.5633707;303.4181708;5
135;360.9955696;303.4164321;316.8818059;303.4164321;5
136;363.5259186;303.4181708;316.5633707;303.4181708;5
137;366.0599518;303.4216486;315.7983973;303.4216486;5
138;368.6101783;303.4251269;315.6413247;303.4251269;5
139;371.1481404;303.4268662;315.6935681;303.4268662;5
140;373.6777616;303.4268662;315.7022864;303.4268662;5
141;376.2038251;303.4320849;315.7488376;303.4320849;5
142;378.7380494;303.4303452;315.7750624;303.4303452;5
