;t;T1;T2;T;p
0;1.766008;298.6783865;369.5535041;298.6783865;5
1;3.1813162;295.7779386;336.7431479;295.7779386;5
2;4.5954012;295.759974;336.8466953;295.759974;5
3;6.0059625;298.7288601;364.9651427;298.7288601;5
4;7.4135566;298.802589;365.156693;298.802589;5
5;8.830441;299.033846;364.0489193;299.033846;5
6;10.2429034;299.310052;362.8310283;299.310052;5
7;11.6603656;299.7001033;362.5788648;299.7001033;5
8;13.0729276;300.1970858;362.6755543;300.1970858;5
9;14.4835162;300.7321921;363.243739;300.7321921;5
10;15.8895163;301.2326284;363.3828144;301.2326284;5
11;17.2910554;301.785542;363.8858272;301.785542;5
12;18.7050299;302.1847268;365.5008335;302.1847268;5
13;20.1076384;302.7625492;365.0926823;302.7625492;5
14;21.5147686;302.9854686;365.2208654;302.9854686;5
15;22.925276;303.6206795;365.3281807;303.6206795;5
16;24.3404061;303.7771617;365.0288325;303.7771617;5
17;25.7594477;304.4437418;365.0926823;304.4437418;5
18;27.1717962;304.6674683;364.7750256;304.6674683;5
19;28.5885658;304.9984879;364.7329699;304.9984879;5
20;30.0061291;305.4844194;364.7119681;305.4844194;5
21;31.4144453;305.7233153;364.8804705;305.7233153;5
22;32.8307162;306.2079926;364.6072189;306.2079926;5
23;34.2430049;306.5265196;344.869812;306.5265196;5
24;35.6485282;306.5678503;363.8249367;306.5678503;5
25;37.062343;306.9829157;365.981766;306.9829157;5
26;38.474826;307.3845586;365.8058269;307.3845586;5
27;39.8860993;303.4181708;345.2937165;303.4181708;5
28;41.2972688;307.9690399;336.7776156;307.9690399;5
29;42.7034663;308.0503688;366.0259417;308.0503688;5
30;44.1050534;308.3952591;366.0259417;308.3952591;5
31;45.5120818;308.8309393;345.7843226;308.8309393;5
32;46.9247454;309.021222;337.27231;309.021222;5
33;48.3322806;309.1801636;366.3597286;309.1801636;5
34;49.7429214;309.6252525;366.2702894;309.6252525;5
35;51.151134;309.7992363;366.6073205;309.7992363;5
36;52.5582719;310.1236147;365.937667;310.1236147;5
37;53.9738331;310.2965061;365.7183119;310.2965061;5
38;55.3875086;310.5696131;364.7539891;310.5696131;5
39;56.7980667;310.8994105;364.9227713;310.8994105;5
40;58.2030701;311.1531519;366.2034159;311.1531519;5
41;59.6107674;311.3951554;366.2479787;311.3951554;5
42;61.0250083;311.6106267;366.4944798;311.6106267;5
43;62.4342429;311.8764964;366.3373393;311.8764964;5
44;63.8572652;312.1206437;366.4719716;312.1206437;5
45;65.2709888;312.3547856;366.4719716;312.3547856;5
46;66.6766544;312.5936129;366.5621241;312.5936129;5
47;68.0785326;312.7817774;366.5170079;312.7817774;5
48;69.4872971;313.0094367;366.6299488;313.0094367;5
49;70.8924001;309.9473937;366.4494833;309.9473937;5
50;72.2970808;313.3522354;366.4494833;313.3522354;5
51;73.7121611;313.6267316;345.5869227;313.6267316;5
52;75.1279371;308.4164419;336.9645754;308.4164419;5
53;76.5463098;308.584413;336.9229065;308.584413;5
54;77.9520219;308.7685449;336.9437322;308.7685449;5
55;79.365124;308.9453698;336.971527;308.9453698;5
56;80.7814616;309.1125458;337.0202433;309.1125458;5
57;82.2046484;309.2435831;366.7661432;309.2435831;5
58;83.6135037;315.2253435;366.9259638;315.2253435;5
59;85.0201174;315.4090513;366.9947669;315.4090513;5
60;86.4339034;315.6391669;366.8801982;315.6391669;5
61;87.8446912;315.8372754;366.4270149;315.8372754;5
62;89.2580606;316.0398102;366.4719716;316.0398102;5
63;90.6610688;316.1230039;366.3597286;316.1230039;5
64;92.0701303;310.3193431;336.3061523;310.3193431;5
65;93.4721723;310.5189001;336.3129213;310.5189001;5
66;94.87658;310.6366177;336.2993852;310.6366177;5
67;96.2794393;310.7641849;336.2453145;310.7641849;5
68;97.6832266;317.257191;365.4791876;317.257191;5
69;99.103507;317.4441971;365.6310971;317.4441971;5
70;100.514619;317.6234465;365.6093401;317.6234465;5
71;101.9223772;317.8193323;365.6310971;317.8193323;5
72;103.3271556;318.0074573;365.6746671;318.0074573;5
73;104.7388778;318.2001097;365.8496977;318.2001097;5
