,V,T
12,1.577558252000017,17.8
13,1.5664017931048875,17.9
14,1.5587360053978045,18.0
15,1.5557244459414505,18.1
16,1.5479217691681697,18.2
17,1.5440204307815293,18.3
18,1.5347119742800714,18.4
19,1.5303999686948373,18.5
20,1.52040706686239,18.6
21,1.5191750652666087,18.7
22,1.514315503416583,18.8
23,1.503501267186948,18.9
24,1.500489707730594,19.0
25,1.491455029361532,19.1
26,1.485363465915725,19.2
27,1.476328787546663,19.3
28,1.470511002233252,19.4
29,1.462845214526169,19.5
30,1.4570274292127579,19.6
31,1.4471029719134094,19.7
32,1.441695853798592,19.8
33,1.4321820636978373,19.9
34,1.4322505082309362,20.0
35,1.4230789407956763,20.1
36,1.4126069272315362,20.2
37,1.4065838083188282,20.3
38,1.3998077995420317,20.4
39,1.391731344636355,20.5
40,1.3855028921243502,20.6
41,1.378179327082762,20.7
42,1.3719508745707572,20.8
43,1.364764198595367,20.9
44,1.3567561882227892,21.0
45,1.3531286279685446,21.1
46,1.3458050629269565,21.2
47,1.3401926112128422,21.3
48,1.3334166024360457,21.4
49,1.329925931247999,21.5
50,1.3219179208754213,21.6
51,1.3151419120986247,21.7
52,1.3104192393147969,21.8
53,1.3035747860049014,21.9
54,1.2999472257506568,22.0
55,1.2926921052421676,22.1
56,1.286189874597767,22.2
57,1.2818094244794338,22.3
58,1.273869858639955,22.4
59,1.2672307389293564,22.5
60,1.263397845075815,22.6
61,1.2591542840236798,22.7
62,1.2516253853827948,22.8
63,1.2447124875398003,22.9
64,1.240742704620061,23.0
65,1.2367729217003216,23.1
66,1.2308866918538115,23.2
67,1.2273960206657648,23.3
68,1.2205515673558693,23.4
69,1.2191142321607913,23.5
70,1.213433335913578,23.6
71,1.2036457676804275,23.7
72,1.2007026527571725,23.8
73,1.1946795338444645,23.9
74,1.1904359727923293,24.0
75,1.1859186336077983,24.1
76,1.1810590717577725,24.2
77,1.1769523997718352,24.3
78,1.1706555027267314,24.4
79,1.1657274963436066,24.5
80,1.160594156361185,24.6
81,1.1554608163787634,24.7
82,1.1521754787900136,24.8
83,1.1448519137484254,24.9
84,1.1446465801491286,25.0
85,1.1351327900483739,25.1
86,1.1225389959581662,25.4
87,1.1231549967560568,25.5
88,1.1132305394567084,25.6
89,1.1082340885404847,25.7
90,1.1054278626834275,25.8
91,1.0954349608509801,25.9
92,1.0918074005967355,26.1
93,1.0822251659628819,26.3
94,1.0736011547924136,26.5
95,1.060870471636008,26.7
96,1.057858912179654,26.9
97,1.0506037916711648,27.1
98,1.0418428914344986,27.3
99,1.032055323201348,27.5
100,1.0226784221667913,27.7
101,1.0130277429998387,27.9
102,1.0072099576864275,28.1
103,1.0000232817110373,28.3
104,0.9918783822722617,28.5
105,0.9892774900145014,28.7
106,0.9763414732587989,28.9
107,0.9684019074193202,29.1
108,0.9613521205101279,29.3
109,0.9524543312072637,29.5
110,0.9521805530748679,29.7
111,0.9452676552318735,29.7
112,0.9385600909881759,29.9
113,0.927882743824739,30.1
114,0.9237760718388017,30.3
115,0.9165893958634115,30.5
116,0.9085129409577348,30.7
117,0.9035849345746101,30.9
118,0.8927706983449752,31.1
119,0.8879795810280484,31.3
120,0.8851733551709913,31.4
121,0.8820249066484394,31.5
122,0.8775075674639083,31.6
123,0.8757964541364345,31.7
124,0.8706631141540129,31.8
125,0.8723057829483878,31.9
126,0.8637502163110184,32.0
127,0.8619022139173467,32.1
128,0.8572479856666178,32.2
129,0.8557422059384407,32.3
130,0.8535519808792742,32.4
