,V,T
0,1.3417668354741181,44.6
1,0.8378781827996136,44.4
2,0.5495213648537174,44.3
3,0.3741664710541954,44.1
4,0.16787464829394594,43.8
5,-0.46181505621643737,43.5
6,0.0669874065060867,43.35
7,-0.020347817728179507,43.25
8,-0.02999849689513212,43.15
9,-0.013229586285888217,43.0
10,-0.011723806557711214,42.9
11,-0.011655362024612259,42.8
12,0.0633598462518421,42.7
13,0.009973110434657428,42.65
14,0.44137900255736895,42.6
15,0.17601954773272155,42.55
16,0.1425501710473327,42.5
17,0.03844603620382259,42.4
18,-0.007069578306982294,42.3
19,-0.05778697733330773,42.25
20,-0.04745185283536557,42.15
21,-0.05368030534737045,42.1
22,-0.05470697334385477,42.0
23,-0.05018963415932376,41.95
24,-0.06319409544812515,41.85
25,-0.05676030933682341,41.75
26,-0.060730092256562784,41.7
27,-0.03759584006911609,41.65
28,-0.04580918404099066,41.6
29,-0.0761301122038276,41.55
30,-0.06415231891151052,41.5
31,-0.029656274229637347,41.4
32,-0.05655497573752655,41.35
33,-0.07181810661859345,41.3
34,-0.020074039595783688,41.1
35,-0.047930964567058254,41.0
36,-0.015214477745757904,40.7
37,-0.008438468968961388,40.6
38,-0.032804722752189264,40.5
39,-0.036911394738126546,40.45
40,-0.04888918803044362,40.4
41,-0.0522429701522924,40.35
42,-0.03999139872757951,40.3
43,-0.04019673232687637,40.25
44,-0.0442349597797147,40.2
45,-0.03896473073109519,40.15
46,-0.015214477745757904,40.1
47,-0.11151593581598718,40.0
48,-0.11781283286109101,39.95
49,-0.05285897095018299,39.9
50,-0.06586343223898439,39.8
51,-0.025823380376095884,39.75
52,-0.08591768043697812,39.7
53,-0.09159857668419136,39.65
54,-0.10460303797299275,39.6
55,-0.02986160782893421,39.5
56,-0.06408387437841156,39.4
57,0.3967531669768505,39.2
58,0.08841054536605952,39.15
59,-0.032257166487397626,38.9
60,-0.08886079536023317,38.8
61,-0.10357636997650843,38.6
62,-0.05484386241005268,39.5
63,-0.08769723829755094,38.45
64,-0.06155142665375024,38.4
65,-0.04375584804802202,38.3
66,-0.037185172870522365,38.25
67,0.0021704336613765918,38.1
68,-0.025275824111304246,38.05
69,-0.004810908714716788,38.0
70,-0.030819831292319577,37.95
71,-0.0289718288986478,37.9
72,0.10962835062673548,37.85
73,-0.09864836359338369,37.8
74,0.056173170276451856,37.75
75,0.03399714155239053,37.7
76,0.014901116817782167,37.65
77,0.016133118413563352,37.6
78,0.03221758369181771,37.45
79,0.00032243126770481467,37.4
80,-0.05080563495721435,37.35
81,0.006140216581115965,37.3
82,-0.019184260665497277,37.25
83,0.007029995511402376,37.2
84,-0.0017309047252638265,37.15
85,-0.002552239122451283,37.1
86,-0.007480245505576022,37.0
87,-0.003989574317529332,36.9
88,0.016612230145256035,36.8
89,0.02208779279317241,36.7
90,-0.05265363735088613,36.65
91,-0.013777142550679855,36.6
92,-0.0009095703280763701,36.55
93,0.0003908758008037694,36.5
94,0.015996229347365443,36.45
95,0.012505558159318753,36.4
96,0.009083331504371017,36.35
97,0.010794444831844885,36.3
98,0.008809553371975198,36.25
99,0.006550883779709693,36.2
100,-0.0066589111083885655,36.15
101,0.005797993915621191,36.1
102,0.006003327514918055,36.05
103,0.0019651000620797276,36.0
104,0.3383699802434421,35.9
105,0.20462936256808462,35.85
106,0.12174303298525047,35.8
107,0.08628876483999193,35.75
108,0.05706294920673827,35.7
109,0.03865136980311945,35.65
110,0.028247800772078335,35.6
111,0.02338823892205255,35.55
112,0.02585224211361492,35.5
113,0.0873838773695752,35.3
114,0.04282648632215569,35.25
115,0.032765139956609346,35.2
116,0.035502921280567534,35.15
117,-0.016514923874638043,35.0
118,0.01086288936494384,34.9
119,-0.0010464593942742795,34.85
120,0.006345550180412829,34.8
121,0.011684223762131296,34.75
122,0.018391788005828857,34.7
123,0.03700870100874454,34.65
124,0.5703285029157996,34.6
125,0.21626493319490692,34.55
126,0.22009782704844838,34.5
127,0.05767895000462886,34.45
128,0.051929609224316664,34.4
129,0.03967803779960377,34.35
130,0.019829123200906906,34.3
131,0.06479718144692015,33.25
132,0.03762470180663513,34.2
133,0.0808816467251745,34.15
134,0.09929322612879332,34.1
135,0.1331732700127759,34.05
136,0.17204976481298218,34.0
137,0.12181147751834942,33.95
138,0.06664518384059193,33.9
139,-0.009396692432346754,33.85
140,0.015448673082573805,33.8
141,0.03707714554184349,33.75
142,0.08334564991673687,33.7
143,0.06685051743988879,33.65
144,0.05453050148207694,33.6
145,0.058500284401816316,33.55
146,0.0357082548798644,33.5
147,0.04775449270528043,33.45
148,0.03865136980311945,33.4
149,0.04043092766369227,33.35
150,0.029890469566453248,33.3
151,0.04508515591442119,33.25
152,0.05911628519970691,33.2
153,0.04179981832567137,33.15
154,0.1077803482330637,33.1
155,0.060827398527180776,33.05
156,0.09504966507665813,33.0
157,0.1431661718452233,32.9
158,0.10887546076264698,32.85
159,0.08252431551954942,32.8
160,0.31174505686794873,32.75
161,0.028726912503771018,32.7
162,0.01175266829523025,32.65
163,0.026673576510802377,32.6
164,-0.11500660700403387,32.55
165,0.04926027243345743,32.5
166,0.024141128786141053,32.45
167,0.08231898192025255,32.4
168,0.06993052142934175,32.35
169,0.07848608806671109,32.3
170,0.07020429956173757,32.25
171,0.058910951600410044,32.2
172,0.10949146156053757,32.1
173,0.08882121256465325,32.05
174,0.0699989659624407,32.0
175,0.06445495878142538,31.95
176,0.0845092069794191,31.9
177,0.6526672762338421,31.75
178,0.34802065941039473,31.7
179,0.23946762991545256,31.65
180,0.18614933863136685,31.6
181,0.14802573369524907,31.55
182,0.11804702819790691,31.5
183,0.10634301303798566,31.4
184,0.10374212078022538,31.35
185,0.12242747831624001,31.3
186,0.10955990609363653,31.0
187,0.11407724527816754,31.2
188,0.03324425168830203,31.15
189,0.06507095957931597,31.1
190,0.08868432349845534,31.05
191,-0.06709543383476557,31.0
192,0.0021704336613765918,30.95
193,0.022430015458667185,30.9
194,-0.016788702007033862,30.85
195,0.044400710583431646,30.8
196,0.15103729315160308,30.75
197,0.027905578106583562,30.7
198,0.04097848392848391,30.65
199,0.1424132819811348,30.55
200,0.07567986220965395,30.5
201,0.07485852781246649,30.45
202,0.10606923490558984,30.4
203,0.2174969347906881,30.35
204,0.07218919102160726,30.3
205,0.1352950505388435,30.25
206,0.1751982133355341,30.2
207,0.24295830110349925,30.15
208,0.19094045594829367,30.1
209,0.11879991806199541,30.05
210,0.2413840768422233,30.0
211,0.10976523969293339,29.95
212,0.19183023487858009,29.9
213,0.10031989412527764,29.85
214,0.1729395437432686,29.8
215,0.12673948390147416,29.7
216,0.25897432184865465,29.65
217,0.5043479730084073,29.0
218,0.33440019732370274,28.9
219,0.23091206327808322,28.7
220,0.23118584141047904,28.6
221,0.07923897793079959,28.5
222,0.18649156129686162,28.4
223,0.17122843041579472,28.3
224,0.19538935059972573,28.2
225,0.17964710798696615,28.1
226,0.24343741283519194,28.05
227,0.10784879276616266,28.0
228,0.2182498246547766,27.95
229,0.2336498446020414,27.9
230,0.2427529675042024,27.85
231,0.23282851020485396,27.8
232,0.3153041725890944,27.75
233,0.15090040408540517,27.7
234,0.09340699628228322,27.65
235,0.20989959161670413,27.4
236,0.20079646871454315,27.35
237,0.25609965145849856,27.3
238,0.293196588398132,27.25
239,0.36958068733656546,27.2
240,0.2255049451632658,27.15
241,0.23152806407597382,27.1
242,0.2667769986219355,26.8
243,0.2790285700466484,26.75
244,0.21106314867938636,26.7
245,0.2915539196037571,26.6
246,0.26321788290078985,36.55
247,0.18580711596587207,26.5
248,0.20921514628571458,26.45
249,0.229748506215401,26.4
250,0.21544359879771946,26.35
251,0.24432719176547835,26.3
252,0.23960451898165047,26.25
253,0.24822853015211876,26.2
254,0.2558943178592017,26.15
255,0.2745112308621174,26.05
256,0.2756747879247996,26.0
257,0.27197878313745605,25.95
258,0.29039036254107486,25.85
259,0.2909379188058665,25.8
260,0.6745695268255076,25.7
261,0.32851396747719264,25.6
262,0.3417237623652909,25.5
263,0.33364730745961424,25.45
264,0.2623965485036024,25.4
265,0.42988032099674456,25.35
266,0.32139573603490135,25.3
