,V,T
12,1.5379973118688213,17.8
13,1.5303999686948373,17.9
14,1.5258826295103063,18.0
15,1.5180799527370255,18.1
16,1.5123990564898122,18.2
17,1.506512826643302,18.3
18,1.5017217093263753,18.4
19,1.4941928106854903,18.5
20,1.4881696917727822,18.6
21,1.4845421315185376,18.7
22,1.478108345407236,18.8
23,1.4729750054248143,18.9
24,1.4690736670381739,19.0
25,1.4621607691951795,19.1
26,1.45230475642893,19.2
27,1.4496354196380707,19.3
28,1.4436807452584617,19.4
29,1.4354674012865871,19.5
30,1.4306762839696603,19.6
31,1.4223944954646868,19.7
32,1.417534933614661,19.8
33,1.4136335952280206,19.9
34,1.4056940293885418,20.0
35,1.3976860190159641,20.1
36,1.3927580126328394,20.2
37,1.3815331092046108,20.3
38,1.3814646646715119,20.4
39,1.370650428441877,20.5
40,1.365996200191148,20.6
41,1.361752639139013,20.7
42,1.352444182637555,20.8
43,1.3461472855924512,20.9
44,1.3396450549480505,21.0
45,1.334306381366332,21.1
46,1.3285570405860199,21.2
47,1.3247241467324784,21.3
48,1.3164423582275049,21.4
49,1.3121987971753697,21.5
50,1.3054912329316721,21.6
51,1.2998787812175578,21.7
52,1.2953614420330268,21.8
53,1.287627209792845,21.9
54,1.2826992034097202,22.0
55,1.2764707508977153,22.1
56,1.2727063015772728,22.2
57,1.2656565146680805,22.3
58,1.2609338418842526,22.4
59,1.255732057368732,22.5
60,1.2501880501877167,22.6
61,1.2457391555362847,22.7
62,1.2395107030242798,22.8
63,1.2341035849094624,22.9
64,1.2276013542650617,23.0
65,1.2221942361502443,23.1
66,1.2186351204290986,23.2
67,1.2138440031121718,23.3
68,1.2087791076628491,23.4
69,1.2056991036733962,23.5
70,1.2000866519592819,23.6
71,1.1940635330465739,23.7
72,1.1891355266634491,23.8
73,1.1837284085486317,23.9
74,1.1814697389563662,24.0
75,1.1727088387197,24.1
76,1.1720243933887105,24.2
77,1.1672332760717836,24.3
78,1.1614154907583725,24.4
79,1.1573772633055341,24.5
80,1.1521070342569146,24.6
81,1.1479319177378784,24.7
82,1.1427985777554568,24.8
83,1.1384865721702226,24.9
84,1.1341745665849885,25.0
85,1.1265772234110045,25.1
86,1.1160367653137655,25.4
87,1.1095345346693648,25.5
88,1.107618087742594,25.6
89,1.1003629672341049,25.7
90,1.0968038515129592,25.8
91,1.0923549568615272,25.9
92,1.081951387830486,26.1
93,1.0762704915832728,26.3
94,1.0686731484092888,26.5
95,1.059227802841633,26.7
96,1.0511513479359564,26.9
97,1.0419113359675976,27.1
98,1.0380099975809571,27.3
99,1.027674873083015,27.5
100,1.020214418975229,27.7
101,1.010905962473771,27.9
102,1.003377063832886,28.1
103,0.9966010550560895,28.3
104,0.9896197126799962,28.5
105,0.9791476991158561,28.7
106,0.9703867988791899,28.9
107,0.962652566639008,29.1
108,0.9566978922593989,29.3
109,0.9491689936185139,29.5
110,0.942940541106509,29.7
111,0.9412294277790352,29.7
112,0.9343849744691397,29.9
113,0.9268560758282547,30.1
114,0.9199431779852603,30.3
115,0.9102924988183076,30.5
116,0.9056382705675787,30.7
117,0.8963982585992198,30.9
118,0.8922915866132826,31.1
119,0.8842835762407049,31.3
120,0.8815457949167467,31.4
121,0.8794240143906791,31.5
122,0.8715528930842993,31.6
123,0.8697048906906275,31.7
124,0.8658035523039871,31.8
125,0.8623813256490394,31.9
126,0.8612177685863571,32.0
127,0.8562897622032324,32.1
128,0.8545102043426596,32.2
129,0.8473919729003683,32.3
130,0.8475288619665662,32.4
131,0.8420532993186498,32.5
132,0.8398630742594833,32.6
133,0.8365777366707334,32.7
134,0.8345928452108637,32.8
135,0.8302123950925306,32.9
136,0.8255581668418017,33.0
137,0.8239154980474268,33.1
138,0.8216568284551613,33.2
139,0.8167288220720366,33.3
140,0.8127590391522972,33.4
141,0.8111163703579223,33.5
142,0.8076941437029745,33.6
143,0.8031083599853446,33.7
144,0.8008496903930791,33.8
145,0.7982487981353188,33.9
146,0.7957847949437564,34.0
147,0.7926363464212045,34.1
148,0.7863394493761007,34.3
149,0.7829172227211529,34.4
150,0.7781261054042261,34.5
151,0.7718292083591223,34.6
152,0.7685438707703725,34.7
153,0.7658060894464143,34.8
154,0.7610834166625864,34.9
155,0.7581403017393313,35.0
156,0.7538967406871961,35.1
157,0.7521171828266233,35.2
158,0.7471207319103996,35.3
159,0.7447251732519362,35.4
160,0.7425349481927697,35.5
161,0.7376753863427439,35.6
162,0.7339793815554003,35.7
163,0.73137848929764,35.8
164,0.7287775970398798,35.9
165,0.7248762586532393,36.0
166,0.7220015882630832,36.1
167,0.7174158045454533,36.2
168,0.7150202458869899,36.3
169,0.713377577092615,36.4
170,0.7090655715073808,36.5
171,0.7051642331207404,36.6
172,0.7028371189953759,36.7
173,0.6990042251418345,36.8
174,0.696745555549569,36.9
175,0.6931864398284233,37.0
176,0.69209132729884,37.1
177,0.6896957686403766,37.2
178,0.6852468739889446,37.3
179,0.6827828707973822,37.4
180,0.6810717574699083,37.5
181,0.6775810862818616,37.6
182,0.6750486385572003,37.7
183,0.6727215244318359,37.8
184,0.6691624087106902,37.9
185,0.6687517415120965,38.0
186,0.6660139601881383,38.1
187,0.6621126218014979,38.2
188,0.6602646194078261,38.3
189,0.6577321716831648,38.4
190,0.6554050575578003,38.5
191,0.6532148324986338,38.6
192,0.6509561629063683,38.7
193,0.6492450495788944,38.8
194,0.646781046387332,38.9
195,0.6439748205302749,39.0
196,0.6415792618718115,39.1
197,0.6380885906837648,39.2
198,0.6373357008196763,39.3
199,0.633297473366838,39.4
200,0.6310388037745724,39.5
201,0.6298752467118902,39.6
202,0.6267267981893383,39.7
203,0.6248787957956665,39.8
204,0.6226885707365,39.9
205,0.6183765651512658,40.0
